# generated 2017-01-13
#t1	t2	logical	text
HP:0045012	HP:0011976	t	f
HP:0030387	HP:0030388	f	t
HP:0011512	HP:0007894	f	t
HP:0011302	HP:0004279	t	t
HP:0002673	HP:0002812	t	f
HP:0001821	HP:0011313	t	t
HP:0000953	HP:0001010	f	t
HP:0001034	HP:0009719	f	t
HP:0001849	HP:0001829	t	f
HP:0012559	HP:0012560	f	t
HP:0002907	HP:0012587	f	t
HP:0009938	HP:0000293	t	f
HP:0000455	HP:0011832	f	t
HP:0008593	HP:0011251	f	t
HP:0012311	HP:0012312	t	t
HP:0002700	HP:0002677	t	t
HP:0012611	HP:0011935	t	t
HP:0012214	HP:0012213	f	t
HP:0040015	HP:0008972	t	t
HP:0007338	HP:0000571	f	t
HP:0010130	HP:0010135	t	t
HP:0000836	HP:0000821	t	t
HP:0005506	HP:0004808	f	t
HP:0002490	HP:0030086	t	t
HP:0000845	HP:0000824	t	f
HP:0009527	HP:0009532	t	t
HP:0011819	HP:0000176	f	t
HP:0000179	HP:0010282	f	t
HP:0002057	HP:0011222	f	t
HP:0040053	HP:0040055	t	t
HP:0011010	HP:0011009	f	t
HP:0003109	HP:0012365	t	t
HP:0030375	HP:0030374	f	t
HP:0000843	HP:0000829	t	t
HP:0030634	HP:0030633	f	t
HP:0025250	HP:0025251	f	t
HP:0005961	HP:0003268	t	f
HP:0000400	HP:0008551	f	t
HP:0100080	HP:0100085	t	t
HP:0011899	HP:0011900	f	t
HP:0012370	HP:0010669	f	t
HP:0000253	HP:0004481	t	t
HP:0012686	HP:0012685	t	t
HP:0012771	HP:0012770	f	t
HP:0001500	HP:0001238	f	t
HP:0007765	HP:0000594	f	t
HP:0001757	HP:0008573	f	t
HP:0006267	HP:0006266	t	t
HP:0004324	HP:0004325	t	t
HP:0006288	HP:0000684	f	t
HP:0000098	HP:0004322	t	t
HP:0030852	HP:0030851	f	t
HP:0009516	HP:0009521	t	t
HP:0003124	HP:0003146	t	t
HP:0009413	HP:0009418	t	t
HP:0011247	HP:0011246	f	t
HP:0008401	HP:0012746	t	f
HP:0005484	HP:0005490	f	t
HP:0002002	HP:0000319	f	t
HP:0045011	HP:0003646	t	f
HP:0030143	HP:0030144	f	t
HP:0002150	HP:0003127	t	t
HP:0012471	HP:0000233	f	t
HP:0012608	HP:0012609	t	t
HP:0006429	HP:0008819	t	t
HP:0007840	HP:0040054	t	t
HP:0040194	HP:0000252	f	t
HP:0000938	HP:0011002	t	f
HP:0012774	HP:0012773	f	t
HP:0005558	HP:0002488	f	t
HP:0004488	HP:0011451	f	t
HP:0000599	HP:0030141	f	t
HP:0011341	HP:0000188	t	t
HP:0009905	HP:0000391	t	f
HP:0005274	HP:0005278	f	t
HP:0010580	HP:0010585	t	t
HP:0400000	HP:0000331	t	t
HP:0100227	HP:0100232	t	t
HP:0025090	HP:0025129	f	t
HP:0000848	HP:0003351	t	t
HP:0012807	HP:0010763	f	t
HP:0003141	HP:0003563	f	t
HP:0000445	HP:0000460	t	t
HP:0100736	HP:0100737	f	t
HP:0000343	HP:0000322	t	t
HP:0012892	HP:0004660	f	t
HP:0030890	HP:0007103	f	t
HP:0030385	HP:0030384	f	t
HP:0030631	HP:0030632	f	t
HP:0040205	HP:0040204	t	f
HP:0000837	HP:0030339	t	t
HP:0012802	HP:0012801	t	t
HP:0001945	HP:0002045	f	t
HP:0003259	HP:0012101	t	t
HP:0100828	HP:0005403	t	f
HP:0003118	HP:0008163	t	t
HP:0003237	HP:0004315	t	t
HP:0010018	HP:0010023	t	t
HP:0000337	HP:0000341	t	t
HP:0040031	HP:0040030	t	t
HP:0009491	HP:0009496	t	t
HP:0040261	HP:0040260	t	t
HP:0011001	HP:0004349	t	t
HP:0000289	HP:0011829	f	t
HP:0011432	HP:0010570	f	t
HP:0001276	HP:0001290	f	t
HP:0100626	HP:0006554	f	t
HP:0011969	HP:0030344	t	t
HP:0004586	HP:0004625	t	t
HP:0010980	HP:0010981	t	t
HP:0012505	HP:0012506	t	t
HP:0430029	HP:0010650	t	t
HP:0000900	HP:0000883	t	f
HP:0025158	HP:0025159	f	t
HP:0005585	HP:0005590	f	t
HP:0040194	HP:0040195	t	t
HP:0012694	HP:0012695	t	f
HP:0010271	HP:0010276	t	t
HP:0001413	HP:0006577	f	t
HP:0010809	HP:0010811	t	t
HP:0012891	HP:0002162	f	t
HP:0008711	HP:0008687	t	f
HP:0010702	HP:0004313	t	t
HP:0009147	HP:0009148	t	t
HP:0030371	HP:0030372	f	t
HP:0002153	HP:0002900	t	t
HP:0003077	HP:0045014	t	t
HP:0004326	HP:0001513	t	f
HP:0008232	HP:0030341	f	t
HP:0001169	HP:0004283	t	t
HP:0007572	HP:0007535	f	t
HP:0009890	HP:0000294	f	t
HP:0008221	HP:0000835	f	t
HP:0008208	HP:0000860	t	t
HP:0010860	HP:0010861	f	t
