# generated 2017-01-13
#t1	t2	logical	text
MP:0010072	MP:0010073	f	t
MP:0012045	MP:0012046	f	t
MP:0009180	MP:0009181	f	t
MP:0012481	MP:0012482	t	t
MP:0012591	MP:0012590	t	t
MP:0010084	MP:0010085	f	t
MP:0004357	MP:0002764	t	t
MP:0001840	MP:0001841	t	t
MP:0004635	MP:0004641	t	f
MP:0014213	MP:0014212	f	t
MP:0014224	MP:0014225	f	t
MP:0014103	MP:0014104	t	t
MP:0010579	MP:0010580	t	t
MP:0000635	MP:0002659	t	t
MP:0012411	MP:0012428	f	t
MP:0000702	MP:0002217	t	t
MP:0004818	MP:0004819	t	t
MP:0004421	MP:0004418	t	t
MP:0020100	MP:0020099	f	t
MP:0020058	MP:0020056	f	t
MP:0005141	MP:0000600	t	t
MP:0008657	MP:0008658	t	t
MP:0004906	MP:0002637	t	t
MP:0008536	MP:0013909	t	t
MP:0010844	MP:0010845	t	t
MP:0008535	MP:0013908	t	t
MP:0013256	MP:0013257	f	t
MP:0012806	MP:0012805	t	t
MP:0008699	MP:0008700	t	t
MP:0008090	MP:0008091	f	t
MP:0011091	MP:0011101	f	t
MP:0011392	MP:0011393	t	t
MP:0005013	MP:0005016	t	t
MP:0003041	MP:0003042	f	t
MP:0004760	MP:0004759	t	t
MP:0002833	MP:0002834	t	t
MP:0010868	MP:0010869	t	t
MP:0000599	MP:0000601	t	t
MP:0009349	MP:0009350	t	t
MP:0002968	MP:0002966	t	t
MP:0020155	MP:0020154	f	t
MP:0020033	MP:0020034	t	t
MP:0005026	MP:0005027	f	t
MP:0005441	MP:0002986	t	t
MP:0008644	MP:0008645	t	t
MP:0011994	MP:0008814	f	t
MP:0008632	MP:0008633	t	t
MP:0008426	MP:0008427	t	t
MP:0012022	MP:0012023	f	t
MP:0009060	MP:0009061	t	t
MP:0008620	MP:0008621	t	t
MP:0008850	MP:0008851	f	t
MP:0011717	MP:0011718	t	t
MP:0003883	MP:0002691	t	t
MP:0020299	MP:0020298	f	t
MP:0011608	MP:0011609	t	t
MP:0009290	MP:0009291	t	t
MP:0020286	MP:0020287	f	t
MP:0004395	MP:0004396	t	t
MP:0020274	MP:0020275	f	t
MP:0010180	MP:0010181	f	t
MP:0000414	MP:0000412	t	f
MP:0020250	MP:0020251	f	t
MP:0004928	MP:0004929	t	t
MP:0012759	MP:0012760	t	t
MP:0004904	MP:0004905	t	t
MP:0020067	MP:0020069	f	t
MP:0003174	MP:0003173	f	t
MP:0012362	MP:0012361	f	t
MP:0004153	MP:0011372	t	t
MP:0008403	MP:0008402	t	t
MP:0010964	MP:0010965	t	t
MP:0009713	MP:0009712	t	f
MP:0008982	MP:0008984	t	t
MP:0013025	MP:0013026	f	t
MP:0013485	MP:0013486	t	t
MP:0011092	MP:0011102	f	t
MP:0005489	MP:0003814	t	t
MP:0010758	MP:0010759	f	t
MP:0002941	MP:0002942	t	t
MP:0005596	MP:0005597	t	t
MP:0011549	MP:0011550	t	t
MP:0009459	MP:0009460	t	t
MP:0005137	MP:0005136	t	t
MP:0005014	MP:0005017	t	t
MP:0013692	MP:0013691	f	t
MP:0003131	MP:0002875	t	t
MP:0011078	MP:0011079	t	t
MP:0012265	MP:0012263	t	t
MP:0008611	MP:0008612	t	t
MP:0012375	MP:0012374	f	t
MP:0012483	MP:0012484	f	t
MP:0012052	MP:0004144	f	t
MP:0012593	MP:0012592	f	t
MP:0011815	MP:0011816	f	t
MP:0012387	MP:0012386	t	t
MP:0014117	MP:0014118	t	t
MP:0012471	MP:0012472	t	t
MP:0020277	MP:0020278	f	t
MP:0001188	MP:0005408	f	t
MP:0004925	MP:0004597	f	t
MP:0009190	MP:0009191	t	t
MP:0003823	MP:0003824	f	t
MP:0020253	MP:0020254	f	t
MP:0005039	MP:0002319	t	f
MP:0003219	MP:0003220	f	t
MP:0010129	MP:0010130	t	t
MP:0002867	MP:0002868	t	t
MP:0020024	MP:0020022	f	t
MP:0005090	MP:0005089	t	t
MP:0004546	MP:0010881	t	t
MP:0003434	MP:0011557	f	t
MP:0003184	MP:0003185	f	t
MP:0008647	MP:0008648	t	t
MP:0002731	MP:0003296	t	f
MP:0008635	MP:0008636	t	t
MP:0002406	MP:0002409	f	t
MP:0008623	MP:0008624	t	t
MP:0010359	MP:0010360	f	t
MP:0012266	MP:0012264	t	t
MP:0011282	MP:0011374	t	t
MP:0011093	MP:0011103	f	t
MP:0010878	MP:0010879	t	t
MP:0011394	MP:0011395	t	t
MP:0012145	MP:0012143	f	t
MP:0003063	MP:0003064	t	t
MP:0005573	MP:0005574	t	t
MP:0005561	MP:0005562	t	t
MP:0012443	MP:0000781	t	t
MP:0002710	MP:0002711	t	t
MP:0005585	MP:0005586	f	t
MP:0000441	MP:0008526	t	t
MP:0013959	MP:0013960	t	t
MP:0008371	MP:0008369	t	t
MP:0001305	MP:0001306	t	t
MP:0020132	MP:0020133	t	t
MP:0020200	MP:0020198	f	t
MP:0020145	MP:0020144	t	t
MP:0002318	MP:0003032	t	t
MP:0005015	MP:0005018	t	t
MP:0008539	MP:0008537	f	t
MP:0010300	MP:0010285	f	t
MP:0009612	MP:0009613	t	t
MP:0020169	MP:0020168	f	t
MP:0011285	MP:0011286	t	t
MP:0008404	MP:0008405	f	t
MP:0011804	MP:0011805	t	t
MP:0008416	MP:0008417	t	t
MP:0001170	MP:0000671	t	t
MP:0020264	MP:0020265	f	t
MP:0009474	MP:0001238	t	t
MP:0011938	MP:0011937	f	t
MP:0020240	MP:0020241	t	t
MP:0013348	MP:0008365	t	t
MP:0001415	MP:0001417	t	t
MP:0004545	MP:0010880	t	t
MP:0004919	MP:0004918	f	t
MP:0010841	MP:0010842	t	t
MP:0020059	MP:0020057	f	t
MP:0008997	MP:0008998	t	t
MP:0004789	MP:0012338	t	t
MP:0009159	MP:0009149	t	t
MP:0011370	MP:0011373	t	t
MP:0012146	MP:0012144	f	t
MP:0013378	MP:0013379	t	t
MP:0013463	MP:0013464	f	t
MP:0009746	MP:0009747	t	f
MP:0009407	MP:0009408	f	t
MP:0012582	MP:0012580	t	t
MP:0002975	MP:0002976	t	t
MP:0003132	MP:0008209	t	t
MP:0000480	MP:0003345	t	t
MP:0010538	MP:0010539	t	t
MP:0004148	MP:0000135	t	t
MP:0006060	MP:0006058	f	t
MP:0002842	MP:0002843	t	t
MP:0009240	MP:0009239	t	t
MP:0008370	MP:0008368	t	t
MP:0005139	MP:0005138	t	t
MP:0010100	MP:0004646	f	t
MP:0005477	MP:0005478	t	t
MP:0020011	MP:0020010	f	t
MP:0003725	MP:0003726	f	t
MP:0020047	MP:0020046	t	t
MP:0011044	MP:0011045	t	t
MP:0011094	MP:0011104	f	t
MP:0002865	MP:0001732	t	t
MP:0012461	MP:0012462	t	t
MP:0020210	MP:0020209	f	t
MP:0008949	MP:0008031	f	t
MP:0012365	MP:0012364	f	t
MP:0014228	MP:0014229	f	t
MP:0006006	MP:0000966	t	t
MP:0008641	MP:0008642	t	t
MP:0006003	MP:0006002	f	t
MP:0009092	MP:0009091	t	t
MP:0008161	MP:0008155	t	t
MP:0005348	MP:0005095	t	t
MP:0004485	MP:0004486	t	t
MP:0004370	MP:0004359	t	t
MP:0010092	MP:0010093	t	t
MP:0020296	MP:0020295	f	t
MP:0011915	MP:0011914	t	t
MP:0004498	MP:0004497	t	t
MP:0011902	MP:0011903	t	t
MP:0020283	MP:0020284	f	t
MP:0014170	MP:0014169	t	t
MP:0020271	MP:0020272	f	t
MP:0001556	MP:0000186	t	t
MP:0000231	MP:0001596	f	t
MP:0008049	MP:0008050	t	t
MP:0012630	MP:0012629	f	t
MP:0002923	MP:0002922	f	t
